x1,x2,x3,x4,x5,x6,y
50,100,75,1.17,32.87,384.4,140
50,100,75,1.17,35.91,384.4,130
51,51,38.1,2.01,13.15,550,24
51,51,38.1,2.01,13.15,550,35
51,76,60.8,3.14,19.24,376,71
51,76,63.5,1.57,21.87,376,64
54,150,118,0.8,32.3,628,170
76,51,38.1,1,18.93,386,39
76,76,63.5,1.57,20.72,376,83
76,51,38.1,2,22.07,318,50
76,51,38.1,1,26.2,303,43
76,38,29.97,1.77,26.33,396,31
76,38,31.75,0.98,28.01,332,34
80,80,64,0.98,31.5,480,117
80,80,64,0.98,32.3,480,105
80,80,64,0.98,33.8,480,105
100,150,120,0.99,17.86,343.2,190
100,150,120,0.99,22.33,343.2,240
100,125,107,0.92,22.99,324,196
100,64,53.5,1.96,24.15,530,126
100,125,107,0.92,24.32,304,216
100,125,107,0.38,25.07,451,175
100,100,80,1.12,25.56,343.2,165
100,64,53.5,0.42,26.1,530,63
100,64,53.5,1.29,26.1,530,124
100,130,105,0.64,26.74,400,205.8
100,100,80,1.12,26.79,343.2,174
100,57,46.5,0.44,27,530,45
100,57,46.5,0.69,27,530,66
100,57,46.5,1.29,27,530,90
100,100,75,1.5,27.64,382,180
100,51,40.5,1.29,27.82,530,71
100,51,40.5,1.16,27.82,530,71
100,51,40.5,1.45,27.82,530,79
100,100,75,0.92,28.03,384.4,169
100,51,40.5,0.52,28.05,530,44
100,51,40.5,0.8,28.05,530,55
100,51,40.5,1.11,28.05,530,67
100,100,75,0.92,28.79,384.4,160
100,51,40.5,0.42,28.8,530,36
100,51,40.5,0.56,28.8,530,49
100,51,40.5,0.69,28.8,530,57
100,46,35,1.99,28.95,530,73
100,57,46.5,1.99,28.95,530,97
100,150,120,1.17,29.07,384.4,301
100,100,75,0.47,29.17,384.4,118
100,100,75,1.17,29.17,384.4,189
100,100,75,1.17,29.36,384.4,192
100,64,53.5,0.69,30.38,530,88
100,100,75,1.17,30.78,384.4,200
100,100,75,1.86,30.97,384.4,200
100,100,72,1.18,31.16,347.1,190
100,150,120,1.17,31.16,384.4,292
100,100,75,1.86,31.26,384.4,223
100,100,75,0.47,31.35,384.4,132
100,100,75,1.86,31.35,384.4,220
100,100,75,1.17,31.83,384.4,150
100,51,40.5,0.6,31.88,530,49
100,51,40.5,0.69,31.88,530,52
100,51,40.5,1.99,31.88,530,85
100,100,75,1.55,32.21,384.4,210
100,51,40.5,0.82,32.62,530,56
100,51,40.5,0.88,32.62,530,57
100,51,40.5,1.03,32.62,530,66
100,100,75,1.18,32.68,347.1,170
100,100,75,1.17,33.63,384.4,160
100,125,107,1.22,34.01,324,211
100,125,100,0.53,34.37,460,150
100,100,75,1.17,34.68,384.4,160
100,46,35,0.42,35.33,530,29
100,46,35,0.69,35.33,530,38
100,46,35,1.29,35.33,530,57
100,85,60,1.1,37.05,382,120
100,85,60,1.95,37.05,382,135
100,85,60,1.95,37.05,382,170
100,125,107,0.57,37.24,324,165
100,125,107,0.92,37.72,324,184
100,75,55,0.35,38.95,448,60
100,150,120,0.99,44.37,343.2,341
100,150,120,0.99,45.51,343.2,312
100,120,88,1.84,84.89,550,330
102,51,38.1,2.01,13.15,550,33
102,51,38.1,2.01,13.15,550,34
102,51,38.1,2.01,13.15,550,36
102,51,38.1,2.01,13.15,550,78
102,76,60.8,3.14,19.1,376,105
102,76,63.5,1.57,19.57,376,78
